name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	description
A1	SEEG	uV	n/a	2000	n/a	5000	soz
A10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A2	SEEG	uV	n/a	2000	n/a	5000	soz
A3	SEEG	uV	n/a	2000	n/a	5000	soz
B'1	SEEG	uV	n/a	2000	n/a	5000	soz
B'10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'2	SEEG	uV	n/a	2000	n/a	5000	soz
B'3	SEEG	uV	n/a	2000	n/a	5000	soz
B'4	SEEG	uV	n/a	2000	n/a	5000	soz
B'5	SEEG	uV	n/a	2000	n/a	5000	soz
B'6	SEEG	uV	n/a	2000	n/a	5000	soz
B'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B1	SEEG	uV	n/a	2000	n/a	5000	soz
B10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B2	SEEG	uV	n/a	2000	n/a	5000	soz
B3	SEEG	uV	n/a	2000	n/a	5000	soz
B4	SEEG	uV	n/a	2000	n/a	5000	soz
B5	SEEG	uV	n/a	2000	n/a	5000	soz
B6	SEEG	uV	n/a	2000	n/a	5000	soz
B7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'1	SEEG	uV	n/a	2000	n/a	5000	soz
C'2	SEEG	uV	n/a	2000	n/a	5000	soz
C'3	SEEG	uV	n/a	2000	n/a	5000	soz
C'4	SEEG	uV	n/a	2000	n/a	5000	soz
C1	SEEG	uV	n/a	2000	n/a	5000	soz
C2	SEEG	uV	n/a	2000	n/a	5000	soz
C3	SEEG	uV	n/a	2000	n/a	5000	soz
C4	SEEG	uV	n/a	2000	n/a	5000	soz
C5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
