name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	description
A1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A13	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A14	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A15	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'13	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'14	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'15	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B1	SEEG	uV	n/a	2000	n/a	5000	soz
B10	SEEG	uV	n/a	2000	n/a	5000	soz
B11	SEEG	uV	n/a	2000	n/a	5000	soz
B12	SEEG	uV	n/a	2000	n/a	5000	soz
B13	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B14	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B15	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B2	SEEG	uV	n/a	2000	n/a	5000	soz
B3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B9	SEEG	uV	n/a	2000	n/a	5000	soz
C'1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'13	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'14	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'15	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C10	SEEG	uV	n/a	2000	n/a	5000	soz
C11	SEEG	uV	n/a	2000	n/a	5000	soz
C12	SEEG	uV	n/a	2000	n/a	5000	soz
C13	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C14	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C15	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C9	SEEG	uV	n/a	2000	n/a	5000	soz
H1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
P'14	SEEG	uV	n/a	2000	n/a	5000	nonsoz
P'15	SEEG	uV	n/a	2000	n/a	5000	nonsoz
P'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
T5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
Tp1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
Tp10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
Tp2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
Tp3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
Tp4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
Tp5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
