name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	description
A'10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'13	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'14	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'15	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A1	SEEG	uV	n/a	2000	n/a	5000	soz
A10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A2	SEEG	uV	n/a	2000	n/a	5000	soz
A3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B1	SEEG	uV	n/a	2000	n/a	5000	soz
B10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B2	SEEG	uV	n/a	2000	n/a	5000	soz
B3	SEEG	uV	n/a	2000	n/a	5000	soz
B4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'13	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'14	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'15	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
G1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
G10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
G11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
G12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
G2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
G3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
G4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
G5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
G6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
G7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
G8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
G9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
