name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	description
A'1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'1	SEEG	uV	n/a	2000	n/a	5000	irritative zone
B'10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'2	SEEG	uV	n/a	2000	n/a	5000	irritative zone
B'3	SEEG	uV	n/a	2000	n/a	5000	irritative zone
B'4	SEEG	uV	n/a	2000	n/a	5000	irritative zone
B'5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B1	SEEG	uV	n/a	2000	n/a	5000	soz
B10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B2	SEEG	uV	n/a	2000	n/a	5000	soz
B3	SEEG	uV	n/a	2000	n/a	5000	soz
B4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'1	SEEG	uV	n/a	2000	n/a	5000	irritative zone
C'13	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'2	SEEG	uV	n/a	2000	n/a	5000	irritative zone
C'3	SEEG	uV	n/a	2000	n/a	5000	irritative zone
C'4	SEEG	uV	n/a	2000	n/a	5000	irritative zone
