name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	description
A'1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A5	SEEG	uV	n/a	2000	n/a	5000	soz
A6	SEEG	uV	n/a	2000	n/a	5000	soz
A7	SEEG	uV	n/a	2000	n/a	5000	soz
A8	SEEG	uV	n/a	2000	n/a	5000	soz
A9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B3	SEEG	uV	n/a	2000	n/a	5000	soz
B4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C1	SEEG	uV	n/a	2000	n/a	5000	soz
C10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C13	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C14	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C15	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C2	SEEG	uV	n/a	2000	n/a	5000	soz
C3	SEEG	uV	n/a	2000	n/a	5000	soz
C4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
Tp1	SEEG	uV	n/a	2000	n/a	5000	soz
Tp2	SEEG	uV	n/a	2000	n/a	5000	soz
Tp3	SEEG	uV	n/a	2000	n/a	5000	soz
Tp4	SEEG	uV	n/a	2000	n/a	5000	soz
Tp5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
