name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	description
A'1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'13	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'14	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
A'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'1	SEEG	uV	n/a	2000	n/a	5000	soz
B'10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'13	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'14	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'2	SEEG	uV	n/a	2000	n/a	5000	soz
B'3	SEEG	uV	n/a	2000	n/a	5000	soz
B'4	SEEG	uV	n/a	2000	n/a	5000	soz
B'5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
B'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'1	SEEG	uV	n/a	2000	n/a	5000	soz
C'10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'13	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'14	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'2	SEEG	uV	n/a	2000	n/a	5000	soz
C'3	SEEG	uV	n/a	2000	n/a	5000	soz
C'4	SEEG	uV	n/a	2000	n/a	5000	soz
C'5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
C'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
H'1	SEEG	uV	n/a	2000	n/a	5000	nonsoz
H'10	SEEG	uV	n/a	2000	n/a	5000	nonsoz
H'11	SEEG	uV	n/a	2000	n/a	5000	nonsoz
H'12	SEEG	uV	n/a	2000	n/a	5000	nonsoz
H'13	SEEG	uV	n/a	2000	n/a	5000	nonsoz
H'14	SEEG	uV	n/a	2000	n/a	5000	nonsoz
H'15	SEEG	uV	n/a	2000	n/a	5000	nonsoz
H'2	SEEG	uV	n/a	2000	n/a	5000	nonsoz
H'3	SEEG	uV	n/a	2000	n/a	5000	nonsoz
H'4	SEEG	uV	n/a	2000	n/a	5000	nonsoz
H'5	SEEG	uV	n/a	2000	n/a	5000	nonsoz
H'6	SEEG	uV	n/a	2000	n/a	5000	nonsoz
H'7	SEEG	uV	n/a	2000	n/a	5000	nonsoz
H'8	SEEG	uV	n/a	2000	n/a	5000	nonsoz
H'9	SEEG	uV	n/a	2000	n/a	5000	nonsoz
